flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,linkedEvents,link,P10OnsetMax,Farside,FarsideManuallyAddedByUs
2012-05-26T20:57:00-FLR-001,[{'displayName': 'GOES14: SEM/XRS 1.0-8.0'}],2012-05-26T20:57Z,2012-05-27T10:45Z,2012-05-27T12:35Z,SPE,N15W122,11482,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,14,TRUE,FALSE
2012-06-14T14:30:00-FLR-001,,2012-06-14T14:35Z,2012-06-15T09:55Z,2012-06-16T22:55Z,SUB,S17E06,11504,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,1,FALSE,FALSE
2012-07-06T23:08:00-FLR-001,[{'displayName': 'GOES14: SEM/XRS 1.0-8.0'}],2012-07-06T23:08Z,2012-07-07T07:45Z,2012-07-07T21:10Z,SPE,S18W50,11515,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,25,FALSE,FALSE
2012-07-08T16:32:00-FLR-001,[{'displayName': 'GOES14: SEM/XRS 1.0-8.0'}],2012-07-08T16:32Z,2012-07-09T04:30Z,2012-07-09T14:45Z,SPE,S17W74,11515,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,19,FALSE,FALSE
2012-07-12T16:49:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2012-07-12T16:49Z,2012-07-12T22:25Z,2012-07-15T02:00Z,SPE,S15W01,11520,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,96,FALSE,FALSE
2012-07-17T17:15:00-FLR-001,[{'displayName': 'GOES14: SEM/XRS 1.0-8.0'}],2012-07-17T17:15Z,2012-07-18T06:00Z,2012-07-19T06:45Z,SPE,S28W65,11520,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,136,FALSE,FALSE
2012-07-19T05:58:00-FLR-001,[{'displayName': 'GOES14: SEM/XRS 1.0-8.0'}],2012-07-19T05:58Z,2012-07-19T14:25Z,2012-07-21T03:10Z,SPE,S17W92,11520,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,80,TRUE,FALSE
2012-07-23T02:36:00-FLR-001,[{'displayName': 'GOES14: SEM/XRS 1.0-8.0'}],2012-07-23T02:36Z,2012-07-23T21:45Z,2012-07-24T18:00Z,SPE,S17W144,11520,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,12,TRUE,FALSE
2012-08-31T20:43:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2012-08-31T20:43Z,2012-09-02T08:50Z,2012-09-04T06:25Z,SPE,S19E42,11562,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,60,FALSE,FALSE
2012-09-27T23:57:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2012-09-27T23:57Z,2012-09-28T04:45Z,2012-09-28T10:40Z,SPE,N06W34,11577,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,28,FALSE,FALSE
